F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.156475,0.124675,0.090909,0.1,0.032429,0.028509,0.032726,0.306354
0.15288,0.083766,0.151515,0.325,0.008701,0.008665,0.008967,0.535752
0.192442,0.175974,0.181818,0.25,0.020113,0.013305,0.020305,0.542462
0.28058,0.065584,0.30303,0.35,0.02113,0.055684,0.021028,0.301111
0.226623,0.112338,0.515152,0.375,0.015706,0.022505,0.015745,0.475781
0.264388,0.103896,0.363636,0.375,0.006554,0.014395,0.006481,0.676033
0.249994,0.085065,0.393939,0.375,0.011864,0.025823,0.011902,0.475781
0.291366,0.064935,0.333333,0.375,0.004068,0.020427,0.00395,0.618788
0.289568,0.047403,0.272727,0.3,0.00452,0.026352,0.004446,0.532187
0.26259,0.126623,0.363636,0.375,0.006554,0.010743,0.006508,0.755295
0.267983,0.09026,0.363636,0.25,0.005311,0.01516,0.00531,0.668065
0.273377,0.084416,0.363636,0.35,0.00452,0.015246,0.004446,0.677501
0.258995,0.084416,0.363636,0.3,0.003616,0.012297,0.003632,0.709583
0.241005,0.084416,0.454545,0.45,0.008023,0.018057,0.008009,0.563221
0.244601,0.025325,0.424242,0.325,0.002599,0.023031,0.002582,0.499895
0.249994,0.078571,0.393939,0.35,0.002373,0.010255,0.002417,0.737891
0.261076,0.077273,0.363636,0.3,0.003503,0.013602,0.003479,0.685469
0.26259,0.059091,0.363636,0.25,0.005424,0.021712,0.005406,0.548333
0.26259,0.022727,0.424242,0.4,0.003051,0.02761,0.003017,0.475781
0.236121,0.114286,0.333333,0.3,0.005763,0.008941,0.005779,0.737891
0.239314,0.140909,0.333333,0.325,0.009266,0.010645,0.009351,0.702873
0.253601,0.078571,0.333333,0.25,0.007232,0.019499,0.007241,0.564479
0.264211,0.087662,0.30303,0.3,0.006667,0.017738,0.006667,0.612917
0.271437,0.096104,0.363636,0.35,0.006102,0.015863,0.006085,0.661355
0.250609,0.095455,0.30303,0.3,0.005311,0.012541,0.005349,0.685469
0.257197,0.092857,0.363636,0.35,0.011073,0.023435,0.011011,0.516041
0.264388,0.059091,0.363636,0.35,0.004859,0.020732,0.004842,0.565737
0.26259,0.112338,0.333333,0.325,0.008362,0.015769,0.008327,0.645209
0.313483,0.120779,0.363636,0.3,0.015706,0.032375,0.015517,0.499895
0.334536,0.092857,0.484848,0.3,0.01322,0.037819,0.012983,0.475781
