CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),PR(mm/r)
0.363636,0.306452,0.156475,0.124675,0.090909,0.1,0.306354
0.454545,0.580645,0.15288,0.083766,0.151515,0.325,0.535752
0.181818,0.451613,0.192442,0.175974,0.181818,0.25,0.542462
0.272727,0.274194,0.28058,0.065584,0.30303,0.35,0.301111
0.272727,0.435484,0.226623,0.112338,0.515152,0.375,0.475781
0.181818,0.564516,0.264388,0.103896,0.363636,0.375,0.676033
0.272727,0.435484,0.249994,0.085065,0.393939,0.375,0.475781
0.181818,0.516129,0.291366,0.064935,0.333333,0.375,0.618788
0.363636,0.532258,0.289568,0.047403,0.272727,0.3,0.532187
0.272727,0.693548,0.26259,0.126623,0.363636,0.375,0.755295
0.272727,0.612903,0.267983,0.09026,0.363636,0.25,0.668065
0.363636,0.677419,0.273377,0.084416,0.363636,0.35,0.677501
0.363636,0.709677,0.258995,0.084416,0.363636,0.3,0.709583
0.272727,0.516129,0.241005,0.084416,0.454545,0.45,0.563221
0.363636,0.5,0.244601,0.025325,0.424242,0.325,0.499895
0.272727,0.677419,0.249994,0.078571,0.393939,0.35,0.737891
0.272727,0.629032,0.261076,0.077273,0.363636,0.3,0.685469
0.363636,0.548387,0.26259,0.059091,0.363636,0.25,0.548333
0.454545,0.516129,0.26259,0.022727,0.424242,0.4,0.475781
0.272727,0.677419,0.236121,0.114286,0.333333,0.3,0.737891
0.272727,0.645161,0.239314,0.140909,0.333333,0.325,0.702873
0.363636,0.564516,0.253601,0.078571,0.333333,0.25,0.564479
0.363636,0.612903,0.264211,0.087662,0.30303,0.3,0.612917
0.363636,0.66129,0.271437,0.096104,0.363636,0.35,0.661355
0.272727,0.629032,0.250609,0.095455,0.30303,0.3,0.685469
0.363636,0.516129,0.257197,0.092857,0.363636,0.35,0.516041
0.454545,0.612903,0.264388,0.059091,0.363636,0.35,0.565737
0.363636,0.645161,0.26259,0.112338,0.333333,0.325,0.645209
0.363636,0.5,0.313483,0.120779,0.363636,0.3,0.499895
0.454545,0.516129,0.334536,0.092857,0.484848,0.3,0.475781
0.363636,0.580645,0.376795,0.182468,0.424242,0.425,0.580625
0.363636,0.516129,0.311153,0.10974,0.363636,0.375,0.516041
0.363636,0.516129,0.388492,0.194805,0.484848,0.35,0.516041
0.272727,0.596774,0.370503,0.169481,0.424242,0.45,0.650451
0.454545,0.5,0.366907,0.106494,0.515152,0.45,0.460893
0.272727,0.596774,0.345228,0.164286,0.424242,0.475,0.650451
0.363636,0.516129,0.357966,0.137662,0.424242,0.4,0.516041
0.454545,0.548387,0.370503,0.101299,0.454545,0.375,0.505766
0.272727,0.564516,0.40647,0.237013,0.484848,0.475,0.615643
0.363636,0.629032,0.325535,0.177922,0.484848,0.475,0.629063
0.454545,0.758065,0.338131,0.095455,0.515152,0.4,0.700356
0.545455,0.774194,0.348918,0.087013,0.454545,0.375,0.6645
0.454545,0.677419,0.338131,0.084416,0.454545,0.4,0.625498
0.454545,0.629032,0.343525,0.255195,0.424242,0.375,0.580625
