CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.363636,0.156475,0.124675,0.090909,0.1,0.032726,0.306354
0.454545,0.15288,0.083766,0.151515,0.325,0.008967,0.535752
0.181818,0.192442,0.175974,0.181818,0.25,0.020305,0.542462
0.272727,0.28058,0.065584,0.30303,0.35,0.021028,0.301111
0.272727,0.226623,0.112338,0.515152,0.375,0.015745,0.475781
0.181818,0.264388,0.103896,0.363636,0.375,0.006481,0.676033
0.272727,0.249994,0.085065,0.393939,0.375,0.011902,0.475781
0.181818,0.291366,0.064935,0.333333,0.375,0.00395,0.618788
0.363636,0.289568,0.047403,0.272727,0.3,0.004446,0.532187
0.272727,0.26259,0.126623,0.363636,0.375,0.006508,0.755295
0.272727,0.267983,0.09026,0.363636,0.25,0.00531,0.668065
0.363636,0.273377,0.084416,0.363636,0.35,0.004446,0.677501
0.363636,0.258995,0.084416,0.363636,0.3,0.003632,0.709583
0.272727,0.241005,0.084416,0.454545,0.45,0.008009,0.563221
0.363636,0.244601,0.025325,0.424242,0.325,0.002582,0.499895
0.272727,0.249994,0.078571,0.393939,0.35,0.002417,0.737891
0.272727,0.261076,0.077273,0.363636,0.3,0.003479,0.685469
0.363636,0.26259,0.059091,0.363636,0.25,0.005406,0.548333
0.454545,0.26259,0.022727,0.424242,0.4,0.003017,0.475781
0.272727,0.236121,0.114286,0.333333,0.3,0.005779,0.737891
0.272727,0.239314,0.140909,0.333333,0.325,0.009351,0.702873
0.363636,0.253601,0.078571,0.333333,0.25,0.007241,0.564479
0.363636,0.264211,0.087662,0.30303,0.3,0.006667,0.612917
0.363636,0.271437,0.096104,0.363636,0.35,0.006085,0.661355
0.272727,0.250609,0.095455,0.30303,0.3,0.005349,0.685469
0.363636,0.257197,0.092857,0.363636,0.35,0.011011,0.516041
0.454545,0.264388,0.059091,0.363636,0.35,0.004842,0.565737
0.363636,0.26259,0.112338,0.333333,0.325,0.008327,0.645209
0.363636,0.313483,0.120779,0.363636,0.3,0.015517,0.499895
0.454545,0.334536,0.092857,0.484848,0.3,0.012983,0.475781
0.363636,0.376795,0.182468,0.424242,0.425,0.018927,0.580625
0.363636,0.311153,0.10974,0.363636,0.375,0.013241,0.516041
0.363636,0.388492,0.194805,0.484848,0.35,0.02439,0.516041
0.272727,0.370503,0.169481,0.424242,0.45,0.014184,0.650451
0.454545,0.366907,0.106494,0.515152,0.45,0.015772,0.460893
0.272727,0.345228,0.164286,0.424242,0.475,0.01368,0.650451
0.363636,0.357966,0.137662,0.424242,0.4,0.016853,0.516041
0.454545,0.370503,0.101299,0.454545,0.375,0.012626,0.505766
0.272727,0.40647,0.237013,0.484848,0.475,0.023286,0.615643
0.363636,0.325535,0.177922,0.484848,0.475,0.016027,0.629063
0.454545,0.338131,0.095455,0.515152,0.4,0.00495,0.700356
0.545455,0.348918,0.087013,0.454545,0.375,0.005055,0.6645
0.454545,0.338131,0.084416,0.454545,0.4,0.005911,0.625498
0.454545,0.343525,0.255195,0.424242,0.375,0.027491,0.580625
0.363636,0.361691,0.216883,0.484848,0.475,0.022049,0.596771
0.363636,0.370503,0.177922,0.515152,0.45,0.017561,0.596771
0.272727,0.370503,0.067532,0.515152,0.5,0.008606,0.493185
0.363636,0.352513,0.22013,0.454545,0.375,0.044683,0.354791
0.272727,0.363312,0.096104,0.545455,0.425,0.05561,0.16125
0.363636,0.366907,0.097403,0.484848,0.4,0.03122,0.274062
0.272727,0.316546,0.092857,0.515152,0.375,0.012092,0.493185
0.363636,0.287771,0.194805,0.484848,0.4,0.076422,0.193542
0.363636,0.329131,0.296753,0.333333,0.375,0.077073,0.274062
0.272727,0.388492,0.491558,0.242424,0.3,0.133695,0.248689
0.363636,0.39029,0.347403,0.242424,0.4,0.192195,0.112812
0.272727,0.422661,0.430519,0.30303,0.275,0.173884,0.16125
0.090909,0.460426,0.5,0.090909,0.275,0.091932,0.370937
0.272727,0.437055,0.294156,0.242424,0.275,0.125553,0.16125
0.272727,0.460426,0.491558,0.242424,0.275,0.345591,0.07381
0.363636,0.334536,0.364286,0.363636,0.45,0.128456,0.193542
0.272727,0.379491,0.364286,0.272727,0.4,0.150469,0.16125
0.272727,0.311153,0.279221,0.424242,0.35,0.050206,0.388341
0.363636,0.32194,0.245455,0.545455,0.45,0.074254,0.241979
0.272727,0.293164,0.211688,0.545455,0.375,0.038679,0.388341
0.272727,0.289568,0.203247,0.575758,0.425,0.050206,0.301111
0.363636,0.316546,0.152597,0.484848,0.425,0.043902,0.274062
0.272727,0.352513,0.305195,0.363636,0.4,0.081426,0.266094
0.272727,0.41547,0.381169,0.30303,0.425,0.122251,0.213672
0.363636,0.411875,0.448701,0.30303,0.4,0.154471,0.193542
0.363636,0.401076,0.338961,0.242424,0.275,0.120651,0.193542
0.363636,0.420863,0.355844,0.454545,0.375,0.196098,0.112812
0.363636,0.498202,0.39026,0.363636,0.475,0.17431,0.145104
0.363636,0.424459,0.398052,0.545455,0.5,0.138861,0.193542
0.272727,0.442448,0.296753,0.484848,0.5,0.098236,0.213672
0.363636,0.447842,0.44026,0.333333,0.325,0.193495,0.145104
0.272727,0.442448,0.338961,0.242424,0.35,0.141463,0.16125
0.272727,0.424459,0.448701,0.393939,0.45,0.141463,0.213672
0.363636,0.478415,0.474675,0.30303,0.4,0.206505,0.145104
0.363636,0.469426,0.381169,0.333333,0.4,0.133659,0.193542
0.363636,0.496404,0.381169,0.484848,0.35,0.170732,0.145104
0.272727,0.40647,0.22013,0.333333,0.375,0.04012,0.388341
0.454545,0.361514,0.245455,0.363636,0.35,0.054289,0.326064
0.272727,0.413672,0.211688,0.424242,0.325,0.043314,0.353533
0.363636,0.40647,0.164935,0.545455,0.35,0.034537,0.354791
0.363636,0.388492,0.152597,0.606061,0.375,0.018816,0.516041
0.363636,0.370503,0.194805,0.545455,0.525,0.030895,0.435521
0.363636,0.370503,0.177922,0.575758,0.525,0.020173,0.548333
0.363636,0.365109,0.152597,0.575758,0.5,0.016174,0.564479
0.363636,0.368705,0.092857,0.575758,0.45,0.011011,0.516041
0.363636,0.356109,0.126623,0.575758,0.45,0.013094,0.564479
0.272727,0.34712,0.134416,0.575758,0.525,0.010492,0.650451
0.363636,0.348918,0.15,0.606061,0.525,0.014343,0.596771
0.363636,0.370503,0.135714,0.636364,0.475,0.012683,0.596771
0.363636,0.334536,0.135714,0.575758,0.45,0.012683,0.596771
0.363636,0.334536,0.161039,0.606061,0.525,0.01561,0.596771
0.363636,0.32194,0.124675,0.545455,0.475,0.011416,0.596771
0.363636,0.316546,0.14026,0.484848,0.45,0.013268,0.596771
0.363636,0.336334,0.087662,0.575758,0.475,0.00722,0.596771
0.363636,0.352513,0.152597,0.545455,0.475,0.014634,0.596771
0.363636,0.275174,0.065584,0.424242,0.3,0.013983,0.387083
0.272727,0.275174,0.065584,0.484848,0.35,0.013896,0.388341
0.363636,0.334536,0.135714,0.666667,0.375,0.016585,0.516041
0.363636,0.312951,0.075974,0.636364,0.425,0.007514,0.548333
0.272727,0.296759,0.075974,0.575758,0.475,0.004278,0.650451
