CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.272727,0.202849,0.167768,0.212121,0.225000,0.006973,0.930174
0.363636,0.328356,0.085865,0.484848,0.400000,0.013133,0.516041
0.545455,0.850740,0.155218,0.727273,0.700000,0.094767,0.161250
0.727273,0.169773,0.103038,0.000000,0.100000,0.176980,0.050325
0.454545,0.291048,0.054161,0.242424,0.275000,0.020265,0.340952
0.363636,0.440295,0.387715,0.545455,0.500000,0.162422,0.193542
0.272727,0.179109,0.085865,0.121212,0.275000,0.020781,0.405955
0.545455,0.384326,0.172391,0.575758,0.575000,0.033136,0.440763
0.636364,0.253727,0.482827,0.000000,0.075000,0.476662,0.056406
0.636364,0.347017,0.384412,0.151515,0.300000,0.313154,0.082617
0.363636,0.505588,0.223910,0.515152,0.525000,0.134841,0.145104
0.454545,0.317167,0.118890,0.454545,0.375000,0.032585,0.356049
0.454545,0.365665,0.163804,0.575758,0.475000,0.028289,0.475781
0.454545,0.514925,0.525760,0.454545,0.525000,0.445721,0.071294
0.545455,0.514925,0.310436,0.484848,0.575000,0.246818,0.091424
0.636364,0.664172,0.155218,0.333333,0.375000,0.132486,0.108828
0.363636,0.738802,0.482827,0.606061,0.625000,0.383840,0.080520
0.363636,0.477604,0.491413,0.515152,0.475000,0.173600,0.225834
0.363636,0.628728,0.486790,0.606061,0.650000,0.230905,0.161250
0.545455,0.291048,0.008587,0.212121,0.325000,0.008133,0.370937
0.363636,0.337681,0.074637,0.545455,0.475000,0.007702,0.596771
0.545455,0.813432,0.655218,0.848485,0.875000,0.348819,0.133361
0.363636,0.347017,0.073316,0.545455,0.475000,0.007472,0.596771
0.454545,0.589555,0.439234,0.212121,0.375000,0.383840,0.071294
0.363636,0.477604,0.387715,0.545455,0.575000,0.049417,0.596771
0.272727,0.393650,0.353369,0.272727,0.400000,0.176096,0.161250
0.545455,0.235078,0.180978,0.272727,0.250000,0.167256,0.091424
0.363636,0.384326,0.120872,0.636364,0.475000,0.013791,0.596771
0.454545,0.477604,0.223910,0.515152,0.575000,0.060820,0.326064
0.818182,0.664172,0.741083,0.727273,0.775000,0.405941,0.126232
0.818182,0.244402,0.138045,0.000000,0.375000,0.220297,0.044663
0.363636,0.384326,0.180978,0.515152,0.475000,0.088872,0.193542
0.545455,0.645524,0.482827,0.545455,0.550000,0.352900,0.091424
0.363636,0.458955,0.439234,0.484848,0.500000,0.280410,0.112812
0.363636,0.514925,0.424042,0.454545,0.500000,0.344767,0.080520
0.727273,0.207094,0.118230,0.000000,0.075000,0.148126,0.074858
0.363636,0.328356,0.077279,0.515152,0.475000,0.005106,0.677501
0.545455,0.888049,0.482827,0.787879,0.800000,0.352900,0.091424
0.363636,0.552233,0.223910,0.363636,0.400000,0.288073,0.048438
0.545455,0.832080,0.698151,0.787879,0.825000,0.401521,0.119312
0.454545,0.347017,0.023778,0.545455,0.450000,0.005375,0.475781
0.363636,0.240673,0.118890,0.272727,0.225000,0.002910,0.919270
0.363636,0.552233,0.500000,0.606061,0.600000,0.257426,0.145104
0.363636,0.514925,0.180978,0.515152,0.600000,0.096535,0.177396
0.363636,0.347017,0.077279,0.636364,0.475000,0.009434,0.564479
0.727273,0.347017,0.138045,0.000000,0.300000,0.207037,0.050325
0.454545,0.457091,0.266843,0.515152,0.550000,0.026167,0.700356
0.454545,0.272387,0.293263,0.333333,0.375000,0.456860,0.026421
0.818182,0.197757,0.129458,0.000000,0.075000,0.166195,0.068148
0.636364,0.813432,0.223910,0.939394,0.775000,0.132486,0.148249
0.636364,0.608203,0.396301,0.727273,0.825000,0.094767,0.344726
0.454545,0.395515,0.166446,0.515152,0.500000,0.021821,0.565737
