CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.727273,0.692157,0.482827,0.727273,0.775000,0.127404,0.260013
0.545455,0.888049,0.568692,0.666667,0.700000,0.128606,0.301111
0.272727,0.440295,0.439234,0.393939,0.450000,0.140625,0.213672
0.545455,0.402986,0.266843,0.545455,0.525000,0.022644,0.692388
0.363636,0.322762,0.172391,0.363636,0.350000,0.008522,0.838750
0.363636,0.664172,0.568692,0.606061,0.600000,0.296875,0.112812
0.272727,0.552233,0.525760,0.393939,0.450000,0.435096,0.056406
0.454545,0.514925,0.517173,0.484848,0.525000,0.295673,0.101279
0.272727,0.304101,0.198151,0.545455,0.375000,0.037740,0.388341
0.363636,0.361935,0.146631,0.454545,0.375000,0.011286,0.677501
0.636364,0.850740,0.827609,0.696970,0.700000,0.739871,0.043405
0.454545,0.701493,0.525760,0.666667,0.700000,0.142127,0.251206
0.363636,0.533573,0.655218,0.484848,0.525000,0.218750,0.193542
0.363636,0.322762,0.155218,0.424242,0.400000,0.007103,0.838750
0.454545,0.328356,0.103038,0.393939,0.475000,0.013158,0.520654
0.363636,0.347017,0.103038,0.515152,0.475000,0.009766,0.596771
0.272727,0.251040,0.274108,0.333333,0.425000,0.018086,0.807717
0.363636,0.626863,0.551519,0.606061,0.600000,0.238281,0.145104
0.454545,0.777975,0.827609,0.636364,0.625000,0.562800,0.071294
0.818182,0.160449,0.223910,0.000000,0.000000,0.128606,0.126232
0.636364,0.888049,0.827609,0.727273,0.775000,0.248798,0.213672
0.545455,0.309696,0.310436,0.242424,0.300000,0.157728,0.133361
0.454545,0.944018,0.223910,0.909091,0.900000,0.152644,0.101279
0.363636,0.238808,0.034346,0.454545,0.400000,0.007812,0.435521
0.363636,0.333951,0.085865,0.393939,0.475000,0.007812,0.596771
0.454545,0.328356,0.225892,0.515152,0.475000,0.025622,0.565737
0.545455,0.533573,0.353369,0.696970,0.675000,0.108323,0.231076
0.545455,0.925370,1.000000,0.636364,0.650000,0.375000,0.161250
0.363636,0.440295,0.439234,0.545455,0.550000,0.111328,0.274062
0.454545,0.430971,0.310436,0.393939,0.425000,0.068510,0.326064
0.636364,0.888049,0.741083,0.636364,0.650000,0.304889,0.148249
0.545455,0.589555,0.413474,0.606061,0.650000,0.263822,0.091424
0.545455,0.294777,0.051519,0.454545,0.400000,0.009414,0.454812
0.454545,0.319032,0.103038,0.393939,0.425000,0.008681,0.625498
0.363636,0.347017,0.094452,0.575758,0.475000,0.008789,0.596771
0.363636,0.337681,0.163804,0.484848,0.475000,0.015066,0.629063
0.363636,0.390853,0.168428,0.424242,0.425000,0.017969,0.580625
0.272727,0.459777,0.291281,0.515152,0.575000,0.027491,0.650451
0.545455,0.533573,0.474240,0.515152,0.575000,0.373122,0.063326
0.363636,0.328356,0.120872,0.545455,0.500000,0.011719,0.596771
0.727273,0.160449,0.223910,0.000000,0.075000,0.130322,0.124345
0.454545,0.296642,0.094452,0.515152,0.525000,0.007746,0.625498
0.272727,0.291048,0.049538,0.303030,0.350000,0.020072,0.301111
0.636364,0.925370,0.741083,0.696970,0.725000,0.224760,0.213672
0.363636,0.328356,0.180978,0.454545,0.400000,0.023438,0.516041
0.454545,0.514925,0.465654,0.575758,0.600000,0.341947,0.071294
1.000000,0.319032,0.126816,0.030303,0.125000,0.199970,0.035437
0.363636,0.337681,0.081902,0.515152,0.475000,0.007326,0.596771
0.636364,0.869401,0.879128,0.666667,0.725000,0.542067,0.082617
0.363636,0.449619,0.310436,0.545455,0.525000,0.114582,0.193542
0.363636,0.477604,0.482827,0.575758,0.575000,0.212239,0.145104
0.636364,0.291048,0.223910,0.000000,0.275000,0.259102,0.043405
0.363636,0.925370,0.913474,0.666667,0.775000,0.570312,0.080520
0.272727,0.285441,0.049538,0.484848,0.350000,0.012933,0.388341
0.272727,0.350354,0.224571,0.454545,0.450000,0.036001,0.440763
0.545455,0.664172,0.439234,0.636364,0.700000,0.082031,0.370937
0.363636,0.701493,0.223910,0.787879,0.800000,0.046875,0.354791
0.454545,0.309696,0.103038,0.515152,0.425000,0.015625,0.475781
0.363636,0.738802,0.568692,0.727273,0.875000,0.192707,0.193542
0.454545,0.309696,0.094452,0.484848,0.375000,0.017242,0.430908
0.636364,0.589555,0.396301,0.666667,0.700000,0.080529,0.344726
0.363636,0.440663,0.359313,0.393939,0.475000,0.030694,0.709583
0.363636,0.514925,0.353369,0.515152,0.550000,0.163410,0.145104
0.636364,0.664172,0.094452,0.757576,0.700000,0.084534,0.108828
0.454545,0.302237,0.094452,0.484848,0.400000,0.012052,0.520654
0.909091,0.249997,0.198151,0.030303,0.125000,0.195613,0.061858
0.272727,0.365665,0.293263,0.363636,0.400000,0.080529,0.266094
0.272727,0.430971,0.370542,0.303030,0.425000,0.121394,0.213672
0.545455,0.804095,0.457067,0.727273,0.775000,0.162013,0.189138
0.363636,0.337681,0.266843,0.242424,0.275000,0.020998,0.725729
0.363636,0.268657,0.068692,0.363636,0.300000,0.002659,0.709583
0.727273,0.125005,0.060106,0.212121,0.075000,0.073768,0.099602
0.363636,0.376866,0.266843,0.454545,0.475000,0.054688,0.354791
0.545455,0.615662,0.348745,0.818182,0.650000,0.173332,0.133361
0.818182,0.197757,0.155218,0.000000,0.025000,0.157452,0.068148
0.363636,0.296642,0.169749,0.545455,0.450000,0.014294,0.661355
0.636364,0.658578,0.741083,0.757576,0.800000,0.385015,0.108828
0.363636,0.423499,0.153236,0.575758,0.550000,0.017064,0.564479
0.545455,0.514925,0.189564,0.636364,0.625000,0.119591,0.119312
0.727273,0.813432,0.723910,0.818182,0.875000,0.234675,0.198155
0.818182,0.160449,0.138045,0.000000,0.075000,0.146635,0.068148
0.636364,0.850740,0.568692,0.818182,0.775000,0.304889,0.108828
0.545455,0.720141,0.568692,0.636364,0.700000,0.312172,0.105263
0.545455,0.570894,0.241083,0.727273,0.775000,0.142127,0.119312
0.454545,0.319032,0.180978,0.272727,0.350000,0.027680,0.460893
0.545455,0.664172,0.310436,0.636364,0.725000,0.266076,0.063326
0.454545,0.664172,0.400264,0.545455,0.600000,0.125697,0.221220
0.454545,0.347017,0.155218,0.454545,0.500000,0.040466,0.310967
0.272727,0.379713,0.250991,0.333333,0.450000,0.012656,0.912560
0.545455,0.641782,0.184280,0.787879,0.750000,0.064153,0.231076
0.181818,0.199622,0.161823,0.181818,0.250000,0.019348,0.542462
0.272727,0.259321,0.069353,0.393939,0.375000,0.010938,0.475781
0.454545,0.701493,0.223910,0.757576,0.625000,0.194712,0.071294
0.454545,0.440295,0.129458,0.787879,0.725000,0.065706,0.176138
0.727273,0.235078,0.120872,0.000000,0.125000,0.103567,0.099602
0.363636,0.850740,1.000000,0.666667,0.750000,1.000000,0.032292
0.363636,0.330221,0.266843,0.363636,0.350000,0.013672,0.919270
0.545455,0.738802,0.482827,0.787879,0.825000,0.194712,0.161250
0.363636,0.272387,0.097094,0.333333,0.325000,0.007359,0.645209
0.636364,0.645524,0.465654,0.696970,0.750000,0.093350,0.344726
0.636364,0.906710,0.396301,0.909091,0.825000,0.099760,0.279304
0.727273,0.208959,0.180978,0.000000,0.100000,0.133362,0.099602
0.636364,0.611932,0.465654,0.727273,0.750000,0.147837,0.213672
0.363636,0.850740,0.698151,0.727273,0.775000,0.231770,0.193542
0.363636,0.822756,0.568692,0.606061,0.700000,0.192707,0.193542
0.363636,0.402986,0.200132,0.545455,0.500000,0.020703,0.596771
0.636364,0.720141,0.655218,0.757576,0.800000,0.344952,0.108828
0.545455,0.533573,0.439234,0.666667,0.550000,0.068080,0.440763
0.545455,0.496264,0.551519,0.545455,0.550000,0.335938,0.091424
0.363636,0.699162,0.685601,0.606061,0.525000,0.265385,0.161250
0.545455,0.589555,0.577279,0.636364,0.575000,0.288612,0.119312
0.363636,0.266793,0.077279,0.363636,0.350000,0.010045,0.516041
0.727273,0.309696,0.223910,0.000000,0.025000,0.154648,0.099602
0.363636,0.430971,0.155218,0.484848,0.475000,0.026043,0.435521
0.363636,0.365665,0.206737,0.454545,0.375000,0.043750,0.354791
0.363636,0.617539,0.465654,0.606061,0.600000,0.205730,0.145104
0.363636,0.347017,0.094452,0.545455,0.475000,0.012278,0.516041
0.454545,0.272387,0.051519,0.515152,0.425000,0.005409,0.550640
