Raw data,,,,,,,,,
"CRS
(RPM)","AR
(mm/min)",F/A(MF),T/D3(MT),"UEP
(MPa)","LEP
(MPa)",SE(kW· h/m3),FPI,TPI,PR(mm/r)
,,,,,,,,,
"1,3",22,"199,21 ","3,49 ","0,03","0,04","4,24 ","774,09 ","157,77 ","16,92 "
"1,4",39,"196,17 ","2,86 ","0,05","0,13","2,14 ","463,08 ","78,62 ","27,86 "
"1,1",31,"229,62 ","4,28 ","0,06","0,1","3,15 ","535,81 ","116,39 ","28,18 "
"1,2",20,"304,14 ","2,58 ","0,1","0,14","3,24 ","1200,00 ","118,80 ","16,67 "
"1,2",30,"258,52 ","3,30 ","0,17","0,15","2,76 ","680,00 ","101,20 ","25,00 "
"1,1",38,"290,45 ","3,17 ","0,12","0,15","1,95 ","552,89 ","70,34 ","34,55 "
"1,2",30,"278,28 ","2,88 ","0,13","0,15","2,42 ","732,00 ","88,40 ","25,00 "
"1,1",35,"313,26 ","2,57 ","0,11","0,15","1,73 ","647,43 ","61,91 ","31,82 "
"1,3",36,"311,74 ","2,30 ","0,09","0,12","1,77 ","740,28 ","63,56 ","27,69 "
"1,2",46,"288,93 ","3,52 ","0,12","0,15","1,95 ","495,65 ","70,43 ","38,33 "
"1,2",41,"293,49 ","2,96 ","0,12","0,1","1,84 ","564,88 ","66,44 ","34,17 "
"1,3",45,"298,05 ","2,87 ","0,12","0,14","1,77 ","566,22 ","63,56 ","34,62 "
"1,3",47,"285,89 ","2,87 ","0,12","0,12","1,69 ","520,00 ","60,85 ","36,15 "
"1,2",35,"270,68 ","2,87 ","0,15","0,18","2,08 ","610,29 ","75,43 ","29,17 "
"1,3",34,"273,72 ","1,96 ","0,14","0,13","1,60 ","688,24 ","57,35 ","26,15 "
"1,2",45,"278,28 ","2,78 ","0,13","0,14","1,58 ","488,00 ","56,80 ","37,50 "
"1,2",42,"287,65 ","2,76 ","0,12","0,12","1,68 ","540,46 ","60,34 ","35,00 "
"1,3",37,"288,93 ","2,48 ","0,12","0,1","1,85 ","667,57 ","66,76 ","28,46 "
"1,4",35,"288,93 ","1,92 ","0,14","0,16","1,64 ","760,00 ","58,80 ","25,00 "
"1,2",45,"266,55 ","3,33 ","0,11","0,12","1,88 ","467,41 ","68,00 ","37,50 "
"1,2",43,"269,25 ","3,74 ","0,11","0,13","2,19 ","494,12 ","79,90 ","35,83 "
"1,3",38,"281,33 ","2,78 ","0,11","0,1","2,01 ","632,89 ","72,87 ","29,23 "
"1,3",41,"290,30 ","2,92 ","0,1","0,12","1,96 ","605,29 ","70,96 ","31,54 "
"1,3",44,"296,41 ","3,05 ","0,12","0,14","1,91 ","575,90 ","69,02 ","33,85 "
"1,2",42,"278,80 ","3,04 ","0,1","0,12","1,84 ","523,83 ","66,57 ","35,00 "
"1,3",35,"284,37 ","3,00 ","0,12","0,14","2,35 ","694,57 ","85,43 ","26,92 "
"1,4",41,"290,45 ","2,48 ","0,12","0,14","1,80 ","652,20 ","64,88 ","29,29 "
"1,3",43,"288,93 ","3,30 ","0,11","0,13","2,11 ","574,42 ","76,49 ","33,08 "
"1,3",34,"331,96 ","3,43 ","0,12","0,12","2,76 ","834,68 ","100,44 ","26,15 "
"1,4",35,"349,76 ","3,00 ","0,16","0,12","2,54 ","920,00 ","92,00 ","25,00 "
"1,3",39,"385,49 ","4,38 ","0,14","0,17","3,07 ","845,00 ","111,80 ","30,00 "
"1,3",35,"329,99 ","3,26 ","0,12","0,15","2,55 ","806,00 ","92,86 ","26,92 "
"1,3",35,"395,38 ","4,57 ","0,16","0,14","3,56 ","965,71 ","130,00 ","26,92 "
"1,2",40,"380,17 ","4,18 ","0,14","0,18","2,65 ","750,00 ","96,00 ","33,33 "
"1,4",34,"377,13 ","3,21 ","0,17","0,18","2,79 ","1021,18 ","101,29 ","24,29 "
"1,2",40,"358,80 ","4,10 ","0,14","0,19","2,60 ","707,85 ","94,32 ","33,33 "
"1,3",35,"369,57 ","3,69 ","0,14","0,16","2,89 ","902,68 ","104,89 ","26,92 "
"1,4",37,"380,17 ","3,13 ","0,15","0,15","2,51 ","945,95 ","90,81 ","26,43 "
"1,2",38,"410,58 ","5,22 ","0,16","0,19","3,46 ","852,63 ","126,32 ","31,67 "
"1,3",42,"342,15 ","4,31 ","0,16","0,19","2,80 ","696,43 ","102,14 ","32,31 "
"1,4",50,"352,80 ","3,04 ","0,17","0,16","1,83 ","649,60 ","65,24 ","35,71 "
"1,5",51,"361,92 ","2,91 ","0,15","0,15","1,84 ","700,00 ","65,59 ","34,00 "
"1,4",45,"352,80 ","2,87 ","0,15","0,16","1,91 ","721,78 ","68,44 ","32,14 "
"1,4",42,"357,36 ","5,50 ","0,14","0,15","3,82 ","783,33 ","140,33 ","30,00 "
"1,3",40,"372,72 ","4,91 ","0,16","0,19","3,35 ","796,58 ","122,20 ","30,77 "
"1,3",40,"380,17 ","4,31 ","0,17","0,18","2,95 ","812,50 ","107,25 ","30,77 "
"1,2",31,"380,17 ","2,61 ","0,17","0,2","2,16 ","967,74 ","77,42 ","25,83 "
"1,3",25,"364,96 ","4,96 ","0,15","0,15","5,34 ","1248,00 ","197,60 ","19,23 "
"1,2",12,"374,09 ","3,05 ","0,18","0,17","6,31 ","2460,00 ","234,00 ","10,00 "
"1,3",20,"377,13 ","3,07 ","0,16","0,16","4,16 ","1612,00 ","152,75 ","15,38 "
"1,2",31,"334,55 ","3,00 ","0,17","0,15","2,45 ","851,61 ","89,03 ","25,83 "
"1,3",15,"310,22 ","4,57 ","0,16","0,16","8,13 ","1768,00 ","303,33 ","11,54 "
"1,3",20,"345,19 ","6,14 ","0,11","0,15","8,20 ","1475,50 ","305,50 ","15,38 "
"1,2",17,"395,38 ","9,14 ","0,08","0,12","13,22 ","1835,29 ","494,12 ","14,17 "
"1,3",10,"396,90 ","6,92 ","0,08","0,16","18,39 ","3393,00 ","689,00 ","7,69 "
"1,2",12,"424,27 ","8,20 ","0,1","0,11","16,78 ","2790,00 ","628,00 ","10,00 "
1,20,"456,20 ","9,27 ","0,03","0,11","9,54 ","1500,00 ","355,00 ","20,00 "
"1,2",12,"436,44 ","6,10 ","0,08","0,11","12,51 ","2870,00 ","467,00 ","10,00 "
"1,2",7,"456,20 ","9,14 ","0,08","0,11","31,96 ","5142,86 ","1200,00 ","5,83 "
"1,3",15,"349,76 ","7,18 ","0,12","0,18","12,74 ","1993,33 ","476,67 ","11,54 "
"1,2",12,"387,77 ","7,18 ","0,09","0,16","14,70 ","2550,00 ","550,00 ","10,00 "
"1,2",25,"329,99 ","5,87 ","0,14","0,14","5,82 ","1041,60 ","216,00 ","20,83 "
"1,3",18,"339,11 ","5,35 ","0,18","0,18","7,95 ","1610,56 ","296,11 ","13,85 "
"1,2",25,"314,78 ","4,83 ","0,18","0,15","4,80 ","993,60 ","177,60 ","20,83 "
"1,2",20,"311,74 ","4,70 ","0,19","0,17","5,82 ","1230,00 ","216,00 ","16,67 "
"1,3",20,"334,55 ","3,92 ","0,16","0,17","5,27 ","1430,00 ","195,00 ","15,38 "
"1,2",18,"364,96 ","6,27 ","0,12","0,16","8,59 ","1600,00 ","320,00 ","15,00 "
"1,2",15,"418,19 ","7,44 ","0,1","0,17","12,21 ","2200,00 ","456,00 ","12,50 "
"1,3",15,"415,15 ","8,48 ","0,1","0,16","15,06 ","2366,00 ","563,33 ","11,54 "
"1,3",15,"406,02 ","6,79 ","0,08","0,11","12,07 ","2314,00 ","450,67 ","11,54 "
"1,3",10,"422,75 ","7,05 ","0,15","0,15","18,74 ","3614,00 ","702,00 ","7,69 "
"1,3",12,"488,14 ","7,58 ","0,12","0,19","16,83 ","3477,50 ","629,42 ","9,23 "
"1,3",15,"425,79 ","7,70 ","0,18","0,2","13,68 ","2426,67 ","511,33 ","11,54 "
"1,2",15,"441,00 ","6,14 ","0,16","0,2","10,10 ","2320,00 ","376,00 ","12,50 "
"1,3",12,"445,56 ","8,35 ","0,11","0,13","18,52 ","3174,17 ","693,33 ","9,23 "
"1,2",12,"441,00 ","6,79 ","0,08","0,14","13,92 ","2900,00 ","520,00 ","10,00 "
"1,2",15,"425,79 ","8,48 ","0,13","0,18","13,91 ","2240,00 ","520,00 ","12,50 "
"1,3",12,"471,41 ","8,88 ","0,1","0,16","19,67 ","3358,33 ","736,67 ","9,23 "
"1,3",15,"463,81 ","7,44 ","0,11","0,16","13,23 ","2643,33 ","494,00 ","11,54 "
