CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.363636,0.306452,0.156475,0.124675,0.090909,0.100000,0.032429,0.028509,0.032726,0.306354
0.454545,0.580645,0.152880,0.083766,0.151515,0.325000,0.008701,0.008665,0.008967,0.535752
0.181818,0.451613,0.192442,0.175974,0.181818,0.250000,0.020113,0.013305,0.020305,0.542462
0.272727,0.274194,0.280580,0.065584,0.303030,0.350000,0.021130,0.055684,0.021028,0.301111
0.272727,0.435484,0.226623,0.112338,0.515152,0.375000,0.015706,0.022505,0.015745,0.475781
0.181818,0.564516,0.264388,0.103896,0.363636,0.375000,0.006554,0.014395,0.006481,0.676033
0.272727,0.435484,0.249994,0.085065,0.393939,0.375000,0.011864,0.025823,0.011902,0.475781
0.181818,0.516129,0.291366,0.064935,0.333333,0.375000,0.004068,0.020427,0.003950,0.618788
0.363636,0.532258,0.289568,0.047403,0.272727,0.300000,0.004520,0.026352,0.004446,0.532187
0.272727,0.693548,0.262590,0.126623,0.363636,0.375000,0.006554,0.010743,0.006508,0.755295
0.272727,0.612903,0.267983,0.090260,0.363636,0.250000,0.005311,0.015160,0.005310,0.668065
0.363636,0.677419,0.273377,0.084416,0.363636,0.350000,0.004520,0.015246,0.004446,0.677501
0.363636,0.709677,0.258995,0.084416,0.363636,0.300000,0.003616,0.012297,0.003632,0.709583
0.272727,0.516129,0.241005,0.084416,0.454545,0.450000,0.008023,0.018057,0.008009,0.563221
0.363636,0.500000,0.244601,0.025325,0.424242,0.325000,0.002599,0.023031,0.002582,0.499895
0.272727,0.677419,0.249994,0.078571,0.393939,0.350000,0.002373,0.010255,0.002417,0.737891
0.272727,0.629032,0.261076,0.077273,0.363636,0.300000,0.003503,0.013602,0.003479,0.685469
0.363636,0.548387,0.262590,0.059091,0.363636,0.250000,0.005424,0.021712,0.005406,0.548333
0.454545,0.516129,0.262590,0.022727,0.424242,0.400000,0.003051,0.027610,0.003017,0.475781
0.272727,0.677419,0.236121,0.114286,0.333333,0.300000,0.005763,0.008941,0.005779,0.737891
0.272727,0.645161,0.239314,0.140909,0.333333,0.325000,0.009266,0.010645,0.009351,0.702873
0.363636,0.564516,0.253601,0.078571,0.333333,0.250000,0.007232,0.019499,0.007241,0.564479
0.363636,0.612903,0.264211,0.087662,0.303030,0.300000,0.006667,0.017738,0.006667,0.612917
0.363636,0.661290,0.271437,0.096104,0.363636,0.350000,0.006102,0.015863,0.006085,0.661355
0.272727,0.629032,0.250609,0.095455,0.303030,0.300000,0.005311,0.012541,0.005349,0.685469
0.363636,0.516129,0.257197,0.092857,0.363636,0.350000,0.011073,0.023435,0.011011,0.516041
0.454545,0.612903,0.264388,0.059091,0.363636,0.350000,0.004859,0.020732,0.004842,0.565737
0.363636,0.645161,0.262590,0.112338,0.333333,0.325000,0.008362,0.015769,0.008327,0.645209
0.363636,0.500000,0.313483,0.120779,0.363636,0.300000,0.015706,0.032375,0.015517,0.499895
0.454545,0.516129,0.334536,0.092857,0.484848,0.300000,0.013220,0.037819,0.012983,0.475781
0.363636,0.580645,0.376795,0.182468,0.424242,0.425000,0.019209,0.033033,0.018927,0.580625
0.363636,0.516129,0.311153,0.109740,0.363636,0.375000,0.013333,0.030545,0.013241,0.516041
0.363636,0.516129,0.388492,0.194805,0.484848,0.350000,0.024746,0.040735,0.024390,0.516041
0.272727,0.596774,0.370503,0.169481,0.424242,0.450000,0.014463,0.026972,0.014184,0.650451
0.454545,0.500000,0.366907,0.106494,0.515152,0.450000,0.016045,0.044274,0.015772,0.460893
0.272727,0.596774,0.345228,0.164286,0.424242,0.475000,0.013898,0.024282,0.013680,0.650451
0.363636,0.516129,0.357966,0.137662,0.424242,0.400000,0.017175,0.036713,0.016853,0.516041
0.454545,0.548387,0.370503,0.101299,0.454545,0.375000,0.012881,0.039474,0.012626,0.505766
0.272727,0.564516,0.406470,0.237013,0.484848,0.475000,0.023616,0.033520,0.023286,0.615643
0.363636,0.629032,0.325535,0.177922,0.484848,0.475000,0.016158,0.023554,0.016027,0.629063
